Type,ID,Label,Subclass of,Characteristics,Ignore,Notes
Class,CHEBI:24431,chemical entity,BFO:'material entity',,,
Class,CDNO:0000001,dietary component,CHEBI:'chemical entity',,,
Class,PATO:0000033,concentration of,CDNO:'seed carbohydrate concentration',,,
Class,CHEBI:16646,carbohydrate ,PATO:'concentration of',,,
Class,CHEBI:16646,carbohydrate,CDNO:'dietary component',,,
Class,CHEBI:28017,starch,CDNO:'digestible carbohydrate',,,
Class,CHEBI:28057,amylopectin,CHEBI:'starch',,,
Class,CHEBI:17234,glucose,CHEBI:'amylopectin',,,
Class,CHEBI:17234,glucose,CHEBI:'amylose',,,
Class,CHEBI:28102 ,amylose,CHEBI:'starch',,,
Class,CHEBI:28757,fructose,CDNO:'free sugar',,,
Class,CHEBI:17992 ,sucrose,CDNO:'free sugar',,,
Class,CHEBI:17234,glucose,CHEBI:'sucrose',,,
Class,CHEBI:28757,fructose,CHEBI:'sucrose',,,
Class,CHEBI:17306,maltose,CDNO:'free sugar',,,
Class,CHEBI:17234,glucose,CHEBI:'maltose',,,
Class,CHEBI:17234,glucose,CDNO:'free sugar',,,
Class,CHEBI:62967,amorphous cellulose,CDNO:'non digestible carbohydrate',,,
Class,CHEBI:17234,glucose,CHEBI:'amorphous cellulose',,,
Class,CHEBI:61266,hemicellulose,CDNO:'non digestible carbohydrate',,,
Class,CHEBI:28808 ,mannan,CHEBI:'hemicellulose',,,
Class,CHEBI:37684,mannose,CHEBI:'mannan',,,
Class,CHEBI:37166,xylan,CHEBI:'hemicellulose',,,
Class,CHEBI:17234,glucose,CHEBI:'xylan',,,
Class,CHEBI:18222,xylose,CHEBI:'xylan',,,
Class,CHEBI:18233,xyloglucan,CHEBI:'hemicellulose',,,
Class,CHEBI:17234,glucose,CHEBI:'xyloglucan',,,
Class,CHEBI:18222,xylose,CHEBI:'xyloglucan',,,
Class,CHEBI:17020,glucomannan,CHEBI:'hemicellulose',,,
Class,CHEBI:17234,glucose,CHEBI:'glucomannan',,,
Class,CHEBI:37684,mannose,CHEBI:'glucomannan',,,
Class,CHEBI:28427,arabinoxylan,CHEBI:'hemicellulose',,,
Class,CHEBI:22599,arabinose,CHEBI:'arabinoxylan',,,
Class,CHEBI:18222,xylose,CHEBI:'arabinoxylan',,,
Class,CHEBI:28796,fructan,CDNO:'non digestible carbohydrate',,,
Class,CHEBI:15443,inulin,CHEBI:'fructan',,,
Class,CHEBI:17309,pectin,CDNO:'non digestible carbohydrate',,,
Class,CHEBI:24174,galacturonan,CHEBI:'pectin',,,
Class,CHEBI:33830,galacturonic acid ,CHEBI:'galacturonan',,,
Class,CHEBI:26543,rhamnogalacturonan,CHEBI:'pectin',,,
Class,CHEBI:26546,rhamnose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:16689,D-apiose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:33984,fucose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:18222,xylose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:22599,arabinose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:28260,galactose,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:33830,galacturonic acid ,CHEBI:'rhamnogalacturonan',,,
Class,CHEBI:74961,raffinose family oligosaccharide,CDNO:'non digestible carbohydrate',,,
Class,CHEBI:16634,raffinose,CHEBI:'raffinose family oligosaccharide',,,
Class,CHEBI:17164,stachyose,CHEBI:'raffinose family oligosaccharide',,,
Class,CHEBI:28586,verbascose,CHEBI:'raffinose family oligosaccharide',,,
Class,CHEBI:28260,galactose,CHEBI:'raffinose',,,
Class,CHEBI:17234,glucose,CHEBI:'raffinose',,,
Class,CHEBI:28757,fructose,CHEBI:'raffinose',,,
Class,CHEBI:28260,galactose,CHEBI:'stachyose',,,
Class,CHEBI:17234,glucose,CHEBI:'stachyose',,,
Class,CHEBI:28757,fructose,CHEBI:'stachyose',,,
Class,CHEBI:28260,galactose,CHEBI:'verbascose',,,
Class,CHEBI:17234,glucose,CHEBI:'verbascose',,,
Class,CHEBI:28757,fructose,CHEBI:'verbascose',,,
Class,PATO:0000033,concentration of,CDNO:'seed protein concentration',,,
Class,CHEBI:36080,protein,PATO:'concentration of',,,
Class,CHEBI:36080,protein,CDNO:'dietary component',,,
Class,CHEBI:29016 ,arginine,CDNO:'amino acid',,,
Class,CHEBI:27570,histidine,CDNO:'amino acid',,,
Class,CHEBI:24898,isoleucine,CDNO:'amino acid',,,
Class,CHEBI:25017,leucine,CDNO:'amino acid',,,
Class,CHEBI:25094,lysine,CDNO:'amino acid',,,
Class,CHEBI:16811 ,methionine,CDNO:'amino acid',,,
Class,CHEBI:28044,phenylalanine,CDNO:'amino acid',,,
Class,CHEBI:26986,threonine,CDNO:'amino acid',,,
Class,CHEBI:27897,tryptophan,CDNO:'amino acid',,,
Class,CHEBI:27266,valine,CDNO:'amino acid',,,
Class,CHEBI:16449,alanine,CDNO:'amino acid',,,
Class,CHEBI:22653,asparagine,CDNO:'amino acid',,,
Class,CHEBI:22660 ,aspartic acid,CDNO:'amino acid',,,
Class,CHEBI:15356,cysteine,CDNO:'amino acid',,,
Class,CHEBI:28300,glutamine,CDNO:'amino acid',,,
Class,CHEBI:18237,glutamic acid,CDNO:'amino acid',,,
Class,CHEBI:15428,glycine,CDNO:'amino acid',,,
Class,CHEBI:26271,proline,CDNO:'amino acid',,,
Class,CHEBI:17822,serine,CDNO:'amino acid',,,
Class,CHEBI:18186,tyrosine,CDNO:'amino acid',,,
Class,CHEBI:18059,lipid,PATO:'concentration of',,,
Class,CHEBI:18059,lipid,CDNO:'dietary component',,,
